# xmin, ymin, xmax, ymax, varxc, varyc, varw, varh
1.003419533371925354e-01,0.000000000000000000e+00,2.417633086442947388e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.356972903013229370e-01,0.000000000000000000e+00,2.064079642295837402e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.473684161901473999e-01,0.000000000000000000e+00,2.473684251308441162e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.266577392816543579e-01,0.000000000000000000e+00,2.680791020393371582e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.620130836963653564e-01,0.000000000000000000e+00,2.327237576246261597e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.736842095851898193e-01,0.000000000000000000e+00,2.736842036247253418e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.529735326766967773e-01,0.000000000000000000e+00,2.943948805332183838e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.883288770914077759e-01,0.000000000000000000e+00,2.590395510196685791e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.000000029802322388e-01,0.000000000000000000e+00,3.000000119209289551e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.792893260717391968e-01,0.000000000000000000e+00,3.207106888294219971e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.146446555852890015e-01,0.000000000000000000e+00,2.853553295135498047e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.263157963752746582e-01,0.000000000000000000e+00,3.263157904148101807e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.056051045656204224e-01,0.000000000000000000e+00,3.470264673233032227e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.409604489803314209e-01,0.000000000000000000e+00,3.116711378097534180e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.526315748691558838e-01,0.000000000000000000e+00,3.526315689086914062e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.319208979606628418e-01,0.000000000000000000e+00,3.733422458171844482e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.672762274742126465e-01,0.000000000000000000e+00,3.379869163036346436e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.789473831653594971e-01,0.000000000000000000e+00,3.789473772048950195e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.582366764545440674e-01,0.000000000000000000e+00,3.996580541133880615e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
